NE Name,Shelf,Slot,Port,Port Name,ONTs
ZAC-ANT.ATP_ITAGUI-N1-C600,1,1,1,TRK XI0876 (ITAGU-87-06-CO2),36
ZAC-ANT.ATP_ITAGUI-N1-C600,1,1,2,TRK XI0886 (ITAGU-88-06-CO2),0
ZAC-ANT.ATP_ITAGUI-N1-C600,1,1,3,TRK XI0896 (ITAGU-89-06-CO2),1
ZAC-ANT.ATP_ITAGUI-N1-C600,1,1,4,TRK XI0906 (ITAGU-90-06-CO2),19
ZAC-ANT.ATP_ITAGUI-N1-C600,1,1,5,TRK XI0916 (ITAGU-91-06-CO2),30
ZAC-ANT.ATP_ITAGUI-N1-C600,1,1,6,TRK XI0926 (ITAGU-92-06-CO2),21
ZAC-ANT.ATP_ITAGUI-N1-C600,1,1,7,TRK XI0936 (ITAGU-93-06-CO2),1
ZAC-ANT.ATP_ITAGUI-N1-C600,1,1,8,TRK XI0946 (ITAGU-94-06-CO2),8
ZAC-ANT.ATP_ITAGUI-N1-C600,1,1,9,TRK XI0956 (ITAGU-95-06-CO2),9
ZAC-ANT.ATP_ITAGUI-N1-C600,1,1,10,TRK XI0966 (ITAGU-96-06-CO2),8
ZAC-ANT.ATP_ITAGUI-N1-C600,1,1,11,TRK XI0976 (ITAGU-97-06-CO2),6
ZAC-ANT.ATP_ITAGUI-N1-C600,1,1,12,TRK XI0986 (ITAGU-98-06-CO2),13
ZAC-ANT.ATP_ITAGUI-N1-C600,1,1,13,TRK XI0996 (ITAGU-99-06-CO2),24
ZAC-ANT.ATP_ITAGUI-N1-C600,1,1,14,TRK XI1006 (ITAGU-100-06-CO2),2
ZAC-ANT.ATP_ITAGUI-N1-C600,1,1,15,TRK XI1016 (ITAGU-101-06-CO2),1
ZAC-ANT.ATP_ITAGUI-N1-C600,1,1,16,TRK XI1026 (ITAGU-102-06-CO2),23
ZAC-ANT.ATP_ITAGUI-N1-C600,1,2,1,TRK XI1036 (ITAGU-103-06-CO2),50
ZAC-ANT.ATP_ITAGUI-N1-C600,1,2,2,TRK XI1046 (ITAGU-104-06-CO2),24
ZAC-ANT.ATP_ITAGUI-N1-C600,1,2,3,TRK XI1056 (ITAGU-105-06-CO2),26
ZAC-ANT.ATP_ITAGUI-N1-C600,1,2,4,TRK XI1066 (ITAGU-106-06-CO2),30
ZAC-ANT.ATP_ITAGUI-N1-C600,1,2,5,TRK XI1076 (ITAGU-107-06-CO2),26
ZAC-ANT.ATP_ITAGUI-N1-C600,1,2,6,TRK XI1086 (ITAGU-108-06-CO2),18
ZAC-ANT.ATP_ITAGUI-N1-C600,1,2,7,TRK XI1096 (ITAGU-109-06-CO2),31
ZAC-ANT.ATP_ITAGUI-N1-C600,1,2,8,TRK XI1106 (ITAGU-110-06-CO2),27
ZAC-ANT.ATP_ITAGUI-N1-C600,1,2,9,TRK XI1116 (ITAGU-111-06-CO2),29
ZAC-ANT.ATP_ITAGUI-N1-C600,1,2,10,TRK XI1126 (ITAGU-112-06-CO2),8
ZAC-ANT.ATP_ITAGUI-N1-C600,1,2,11,TRK XI1136 (ITAGU-113-06-CO2),27
ZAC-ANT.ATP_ITAGUI-N1-C600,1,2,12,TRK XI1146 (ITAGU-114-06-CO2),10
ZAC-ANT.ATP_ITAGUI-N1-C600,1,2,13,TRK XI1156 (ITAGU-115-06-CO2),21
