Device name,Frame ID,Slot ID,Port ID,User Label,ONTs
HAC-ANT.APART-B1-MA5800,0,1,0,TRK AT44 (PARROQUIAL 5),27
HAC-ANT.APART-B1-MA5800,0,1,1,TRK AT57 (PARROQUIAL 7),22
HAC-ANT.APART-B1-MA5800,0,1,2,TRK AT43 (PARROQUIAL 4),24
HAC-ANT.APART-B1-MA5800,0,1,3,TRK AT55 (PARROQUIAL 6),15
HAC-ANT.APART-B1-MA5800,0,1,4,TRK AT42 (PARROQUIAL 3),27
HAC-ANT.APART-B1-MA5800,0,1,5,TRK AT58 (FUNDADOR 4),29
HAC-ANT.APART-B1-MA5800,0,1,6,TRK AT56 (FUNDADOR 3),19
HAC-ANT.APART-B1-MA5800,0,1,7,TRK AT60 (FUNDADOR 6),19
HAC-ANT.APART-B1-MA5800,0,1,8,TRK AT64 (FUNDADOR 10),18
HAC-ANT.APART-B1-MA5800,0,1,9,TRK AT61 (FUNDADOR 7),18
HAC-ANT.APART-B1-MA5800,0,1,10,TRK AT65 (FUNDADOR 11),23
HAC-ANT.APART-B1-MA5800,0,1,11,TRK AT62 (FUNDADOR 8),13
HAC-ANT.APART-B1-MA5800,0,1,12,TRK AT63 (FUNDADOR 9),18
HAC-ANT.APART-B1-MA5800,0,1,13,TRK AT67 (FUNDADOR 13),13
HAC-ANT.APART-B1-MA5800,0,1,14,TRK AT69 (FUNDADOR 15),20
HAC-ANT.APART-B1-MA5800,0,1,15,TRK AT68 (FUNDADOR 14),31
HAC-ANT.APART-B1-MA5800,0,2,0,TRK AT66 (FUNDADOR 12),11
HAC-ANT.APART-B1-MA5800,0,2,1,TRK AT70 (FUNDADOR 16),14
HAC-ANT.APART-B1-MA5800,0,2,2,TRK AT10 (APARTADO AMPARO 4),20
HAC-ANT.APART-B1-MA5800,0,2,3,TRK AT24 (APARTADO ORTIZ 9),19
HAC-ANT.APART-B1-MA5800,0,2,4,TRK AT23 (APARTADO ORTIZ 8),21
HAC-ANT.APART-B1-MA5800,0,2,5,TRK AT27 (APARTADO ORTIZ 12),16
HAC-ANT.APART-B1-MA5800,0,2,6,TRK AT26 (APARTADO ORTIZ 11),16
HAC-ANT.APART-B1-MA5800,0,2,7,TRK AT14 (APARTADO ORTIZ 6),21
HAC-ANT.APART-B1-MA5800,0,2,8,TRK AT13 (APARTADO ORTIZ 5),18
HAC-ANT.APART-B1-MA5800,0,2,9,TRK AT06 (APARTADO ORTIZ 2),25
