vendor,fecha_carga,total_olts,total_troncales,total_onts
ATP,2025-11-01 08:19,79,13201,213545
ATP,2025-12-01 08:24,83,13612,222106
ATP,2026-01-01 08:30,83,13962,219657
ATP,2026-02-01 08:36,83,14043,238676
ATP,2026-03-01 08:42,83,14232,248076
ATP,2026-04-01 08:47,83,14327,248698
ATP,2026-05-27 08:56,83,14377,250717
ATP,2026-06-01 09:21,82,15017,258113
ATP,2026-06-02 09:33,82,15017,257624
ATP,2026-06-04 09:50,82,15017,259058
ATP,2026-06-09 10:04,82,15016,257104
ATP,2026-06-11 11:14,82,15052,258891
ATP,2026-06-17 11:41,82,15231,258999
ATP,2026-06-18 11:50,82,15231,259467
ATP,2026-06-19 11:59,82,15231,258821
ATP,2026-06-30 07:55,82,15231,259467
ATP,2026-06-30 07:59,82,15231,258821
