vendor,fecha_carga,total_olts,total_troncales,total_onts
HAW,2025-11-01 07:46,158,15296,208060
HAW,2025-12-01 07:47,158,15832,216361
HAW,2026-01-01 07:49,158,16080,211944
HAW,2026-02-01 07:52,159,16223,232264
HAW,2026-04-01 07:55,186,17500,246436
HAW,2026-05-27 07:59,186,18148,266118
HAW,2026-06-01 08:02,186,18217,267825
HAW,2026-06-02 08:05,186,18218,268621
HAW,2026-06-04 08:07,186,18221,269194
HAW,2026-06-05 08:10,186,18224,269186
HAW,2026-06-09 08:12,186,18234,268253
HAW,2026-06-11 10:43,186,18237,270132
HAW,2026-06-12 10:47,186,18238,270295
HAW,2026-06-16 10:50,186,18249,270363
HAW,2026-06-17 10:53,186,18249,271007
HAW,2026-06-18 10:56,186,18249,271213
HAW,2026-06-19 11:00,186,18258,271859
