vendor,fecha_carga,total_olts,total_troncales,total_onts
ATP,2025-11-01 08:19,79,13201,213545
ATP,2025-12-01 08:24,83,13612,222106
ATP,2026-01-01 08:30,83,13962,219657
ATP,2026-02-01 08:36,83,14043,238676
ATP,2026-03-01 08:42,83,14232,248076
ATP,2026-04-01 08:47,83,14327,248698
ATP,2026-05-27 08:56,83,14377,250717
ATP,2026-06-01 09:21,82,15017,258113
ATP,2026-06-02 09:33,82,15017,257624
ATP,2026-06-04 09:50,82,15017,259058
ATP,2026-06-09 10:04,82,15016,257104
ATP,2026-06-11 11:14,82,15052,258891
ATP,2026-06-17 11:41,82,15231,258999
ATP,2026-06-18 11:50,82,15231,259467
ATP,2026-06-19 11:59,82,15231,258821
HAW,2025-11-01 07:47,158,15850,216361
HAW,2025-12-01 07:46,158,15296,208060
HAW,2026-01-01 07:49,158,16097,211944
HAW,2026-02-01 07:52,159,16240,232264
HAW,2026-04-01 07:55,186,17529,246436
HAW,2026-05-27 07:59,186,18171,266118
HAW,2026-06-01 08:02,186,18240,267825
HAW,2026-06-02 08:05,186,18241,268621
HAW,2026-06-04 08:07,186,18244,269194
HAW,2026-06-05 08:10,186,18247,269186
HAW,2026-06-09 08:12,186,18257,268253
HAW,2026-06-11 10:43,186,18260,270132
HAW,2026-06-12 10:47,186,18261,270295
HAW,2026-06-16 10:50,186,18272,270363
HAW,2026-06-17 10:53,186,18272,271007
HAW,2026-06-18 10:56,186,18272,271213
HAW,2026-06-19 11:00,186,18281,271859
ZTE,2025-11-01 08:19,358,43537,573478
ZTE,2025-12-01 08:24,357,43898,596595
ZTE,2026-01-01 08:30,357,44249,596760
ZTE,2026-02-01 08:36,356,44479,638705
ZTE,2026-03-01 08:42,356,44646,664289
ZTE,2026-04-01 08:47,356,44929,671796
ZTE,2026-05-27 08:56,358,45151,698064
ZTE,2026-06-01 09:03,358,45417,708941
ZTE,2026-06-02 09:31,358,45418,708829
ZTE,2026-06-04 09:48,358,45436,708254
ZTE,2026-06-05 09:56,358,45445,708158
ZTE,2026-06-09 10:04,358,45490,708260
ZTE,2026-06-11 11:07,358,45507,707713
ZTE,2026-06-12 11:21,358,45513,707605
ZTE,2026-06-16 11:33,358,45540,707501
ZTE,2026-06-17 11:39,358,45544,707360
ZTE,2026-06-18 11:48,358,45560,707246
ZTE,2026-06-19 11:57,358,45559,707149
